country,YR1990,YR1991,YR1992,YR1993,YR1994,YR1995,YR1996,YR1997,YR1998,YR1999,YR2000,YR2001,YR2002,YR2003,YR2004,YR2005,YR2006,YR2007,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013,YR2014,YR2015,YR2016,YR2017,YR2018,YR2019,YR2020,YR2021,YR2022,YR2023
CMR,54.348,54.168,54.053,53.872,53.537,53.347,53.2,53.105,53.043,53.166,53.338,53.598,53.922,54.253,54.578,54.904,55.301,55.71,56.116,56.486,56.965,57.482,58.17,58.73,59.13,59.687,60.293,60.817,61.189,61.695,61.674,61.146,62.443,63.7
COD,48.538,48.944,49.323,49.621,49.88,50.381,49.376,50.461,49.664,50.089,51.887,52.205,52.371,52.952,53.534,54.001,54.498,54.954,55.388,55.798,56.411,56.911,57.35,57.795,58.236,58.658,59.081,59.495,59.926,60.242,60.428,60.044,60.979,61.895
COG,57.07,56.764,56.483,56.041,55.641,55.474,55.24,48.575,52.551,54.427,55.371,55.885,56.414,57.131,57.957,58.73,59.474,60.05,60.79,61.215,61.731,62.286,62.662,62.969,63.349,63.662,63.911,64.203,64.472,63.152,64.391,64.192,65.0,65.772
COL,68.701,68.772,68.764,69.083,69.422,69.81,70.209,70.632,70.924,70.913,70.905,71.185,71.537,72.309,72.76,73.156,73.497,73.751,74.206,74.531,74.876,75.18,75.611,75.834,75.95,76.067,76.228,76.418,76.579,76.793,74.757,72.698,76.508,77.725
COM,55.62,56.104,56.576,57.026,57.458,57.83,58.151,58.228,58.301,58.853,58.941,59.587,59.723,60.24,60.557,60.883,61.229,61.475,61.955,62.302,62.747,63.105,63.463,63.839,64.143,64.473,64.792,65.127,65.401,65.662,65.756,65.201,66.481,66.777
CPV,63.869,64.066,64.253,64.458,64.648,63.691,65.521,66.082,66.714,67.409,68.117,68.707,69.447,70.006,70.499,70.936,71.341,71.487,71.888,72.142,72.507,72.913,73.315,73.481,73.788,74.096,74.35,74.71,74.84,75.449,73.818,74.424,75.907,76.059
CRI,76.094,76.237,76.385,76.315,76.329,76.44,76.428,76.603,76.869,77.058,77.317,77.609,77.939,78.214,78.512,78.877,79.049,79.098,79.18,79.372,79.354,79.624,79.925,80.189,80.231,80.407,79.988,79.994,80.09,80.296,79.725,78.05,79.316,80.799
CSS,67.0451505140017,67.2193770605245,67.353289397098,67.4755646816358,67.5216611384859,67.5555715464801,67.6264024288204,67.7365433173653,67.9849230739004,68.2095641265771,68.3976758324657,68.6619722928042,68.8997139018751,69.0876488979237,69.3609701933726,69.6320513314341,69.9344232165599,70.2937333399205,70.5499974705246,70.797737511813,71.0114366987074,71.266093287793,71.4019143290264,71.5692506084297,71.7739411761824,71.8641021665476,72.0516361154512,72.1731041595093,72.2210854022703,72.1292604830284,71.9394359303317,69.9228107471769,72.8322921090608,73.1716450013098
CUB,73.823,73.757,73.846,73.874,74.092,74.346,74.69,75.064,75.412,75.719,75.922,76.429,76.766,77.405,77.326,77.54,77.406,77.55,77.589,77.584,77.876,78.051,78.162,78.028,77.825,77.745,77.571,77.3,77.426,77.413,77.407,73.201,77.629,78.085
CUW,72.439,72.536,72.65,72.703,72.791,72.831,72.945,73.035,73.084,73.174,73.283,73.36,73.472,73.603,73.735,73.873,73.978,74.137,74.314,74.485,75.117,75.576,75.96,76.239,76.384,76.482,76.322,76.423,76.493,76.492,76.501,75.686,76.729,76.8
