country,YR1990,YR1991,YR1992,YR1993,YR1994,YR1995,YR1996,YR1997,YR1998,YR1999,YR2000,YR2001,YR2002,YR2003,YR2004,YR2005,YR2006,YR2007,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013,YR2014,YR2015,YR2016,YR2017,YR2018,YR2019,YR2020,YR2021,YR2022,YR2023
CUB,,,,,,,,,,,39.6,,,,,32.6,,30.3,,,27.1,,,,,22.5,,,,,18.7,18.1,17.4,
CUW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CYM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CYP,,,,,,,,,,,42.4,,,,,40.3,,39.7,,,38.6,,,,,37.1,,,,,35.9,35.8,35.6,
CZE,,,,,,,,,,,34.9,,,,,33.7,,33.3,,,32.5,,,,,31.4,,,,,30.4,30.3,29.9,
DEU,,,,,,,,,,,36.2,,,,,32.1,,30.6,,,28.5,,,,,25.1,,,,,22.4,21.7,21.3,
DJI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNK,,,,,,,,,,,37.8,,,,,31.2,,28.9,,,25.7,,,,,21.2,,,,,17.5,16.8,16.2,
DOM,,,,,,,,,,,18.8,,,,,16.4,,15.5,,,14.3,,,,,12.5,,,,,11.0,10.7,10.5,
DZA,,,,,,,,,,,22.9,,,,,22.3,,22.2,,,21.7,,,,,21.3,,,,,21.2,21.2,21.2,
EAP,,,,,,,,,,,29.5970631661164,,,,,28.332688358594,,27.8602369027835,,,27.3207434213698,,,,,26.4351378279324,,,,,25.6360794932628,25.3532542225383,25.3136516036694,
EAR,,,,,,,,,,,43.1401607315651,,,,,37.3229251052823,,35.169012201256,,,32.18663432107,,,,,28.0348812409148,,,,,24.691119173308,24.1214437206903,23.5518464608829,
EAS,,,,,,,,,,,29.9468209175097,,,,,28.3615108695231,,27.7829555831967,,,27.0864279083596,,,,,25.9865953516797,,,,,25.0152285131307,24.7137189088078,24.6402774459446,
ECA,,,,,,,,,,,34.9541120471329,,,,,32.411252661091,,31.4023554567018,,,30.0599600644251,,,,,28.1638407590785,,,,,26.5247208556696,26.2886406202543,25.9310106884958,
